Date,Price,Open,High,Low,Vol.,Change %,log_price,log_return,pct_return
2017-12-06,1014.75,"1,020.00","1,026.25","1,007.25",96.19K,-0.56%,6.922397555719007,-0.005650426530892538,-0.0056344928956394424
2017-12-07,1004.25,"1,015.00","1,018.25","1,000.25",85.71K,-1.03%,6.911996273239391,-0.010401282479615581,-0.010347376201034764
2017-12-08,1001.5,"1,004.00","1,008.75",997.75,74.66K,-0.27%,6.909254155105873,-0.002742118133518545,-0.002738361961662883
2017-12-11,994.0,"1,000.75","1,001.00",993.25,100.79K,-0.75%,6.901737206656574,-0.007516948449298511,-0.007488766849725437
2017-12-12,987.25,993.50,997.75,986.75,105.60K,-0.68%,6.8949233001667585,-0.006813906489815835,-0.006790744466800835
2017-12-13,990.5,988.50,993.00,987.50,82.26K,0.33%,6.898209866138606,0.0032865659718472884,0.003291972651304098
2017-12-14,978.75,990.50,992.25,977.50,84.72K,-1.19%,6.8862762473050125,-0.01193361883359323,-0.011862695608278684
2017-12-15,978.0,978.75,983.25,974.50,88.74K,-0.08%,6.885509670034818,-0.0007665772701948015,-0.0007662835249042654
2017-12-18,972.5,980.25,981.25,968.25,78.26K,-0.56%,6.879870075492601,-0.0056395945422167415,-0.005623721881390598
2017-12-19,966.75,973.25,975.00,965.75,86.62K,-0.59%,6.873939930487406,-0.005930145005194731,-0.005912596401028258
2017-12-20,964.5,966.25,970.75,963.50,91.52K,-0.23%,6.871609832345784,-0.0023300981416225497,-0.002327385570209506
2017-12-21,959.0,964.00,967.50,958.00,107.03K,-0.57%,6.8658910748834385,-0.005718757462345181,-0.005702436495593544
2017-12-22,960.25,958.50,962.75,957.25,83.54K,0.13%,6.867193667226014,0.0013025923425757924,0.0013034410844630084
2017-12-26,970.5,963.00,974.00,963.00,88.43K,1.07%,6.877811402609065,0.01061773538305033,0.010674303566779564
2017-12-27,967.5,970.00,976.00,965.50,123.97K,-0.31%,6.874715424903937,-0.003095977705127595,-0.0030911901081916993
2017-12-28,956.75,966.75,967.75,955.00,116.88K,-1.11%,6.863542124305812,-0.01117330059812538,-0.011111111111111072
2017-12-29,961.75,955.50,963.50,954.75,76.91K,0.52%,6.868754541632405,0.005212417326593055,0.005226025607525386
2018-01-02,964.75,967.50,970.00,958.75,69.65K,0.31%,6.871869000417728,0.0031144587853235706,0.0031193137509748503
2018-01-03,968.75,965.75,970.00,963.50,65.35K,0.41%,6.876006580667557,0.004137580249828687,0.0041461518528116414
2018-01-04,967.75,968.50,969.00,959.25,113.00K,-0.10%,6.874973789457758,-0.0010327912097993774,-0.0010322580645161228
2018-01-05,970.75,968.00,977.00,967.50,84.53K,0.31%,6.878068968611776,0.003095179154018801,0.0030999741668820135
2018-01-08,966.75,969.75,971.50,960.50,87.41K,-0.41%,6.873939930487406,-0.004129038124370155,-0.004120525366984262
2018-01-09,963.75,966.75,968.50,961.00,63.27K,-0.31%,6.870831924877539,-0.003108005609867348,-0.003103180760279267
2018-01-10,955.0,962.75,963.50,951.75,99.01K,-0.91%,6.86171134048073,-0.009120584396808518,-0.009079118028534339
2018-01-11,950.0,954.00,957.50,949.00,85.99K,-0.52%,6.856461984594587,-0.005249355886143725,-0.005235602094240788
2018-01-12,960.5,948.25,962.75,944.50,149.72K,1.11%,6.867453982208612,0.010991997614024918,0.011052631578947425
2018-01-16,979.5,976.50,981.25,974.75,24.86K,1.98%,6.887042237384596,0.01958825517598406,0.019781363872982904
2018-01-17,980.0,977.75,980.50,972.75,36.06K,0.05%,6.887552571664617,0.0005103342800216737,0.0005104645227156368
2018-01-18,984.25,980.00,985.75,977.50,17.57K,0.43%,6.891879929823847,0.004327358159229355,0.004336734693877631
2018-01-19,988.5,983.25,994.00,983.25,28.74K,0.43%,6.896188642610672,0.004308712786825097,0.004318008636017279
2018-01-22,995.75,991.50,998.50,991.25,56.81K,0.73%,6.9034962220617535,0.007307579451081736,0.007334344967121931
2018-01-23,997.75,994.75,"1,000.00",990.75,32.70K,0.20%,6.905502743928843,0.0020065218670897167,0.0020085362791866235
2018-01-24,1003.75,997.00,"1,006.25",992.00,53.15K,0.60%,6.911498265260971,0.0059955213321281065,0.006013530443497839
2018-01-25,1003.75,"1,003.25","1,013.25",998.25,48.11K,0.00%,6.911498265260971,0.0,0.0
2018-01-26,997.0,"1,001.75","1,007.00",995.25,40.09K,-0.67%,6.904750769961838,-0.006747495299133099,-0.006724782067247803
2018-01-29,1002.75,"1,003.50","1,010.25",997.50,43.49K,0.58%,6.9105015046501626,0.0057507346883243216,0.00576730190571717
2018-01-30,1011.25,"1,005.00","1,016.00",999.75,68.16K,0.85%,6.918942468372702,0.00844096372253933,0.008476689104961466
2018-01-31,1007.0,"1,011.00","1,013.00","1,000.25",75.95K,-0.42%,6.914730892718563,-0.00421157565413921,-0.004202719406674937
2018-02-01,996.5,"1,006.75","1,006.75",989.00,55.08K,-1.04%,6.904249139652849,-0.010481753065713306,-0.010427010923535263
2018-02-02,990.25,997.00,997.50,988.25,36.83K,-0.63%,6.897957436502026,-0.006291703150822947,-0.006271951831409939
2018-02-05,981.25,988.00,988.75,981.00,63.73K,-0.91%,6.888827269096618,-0.009130167405408507,-0.009088613986367067
