horizon_weeks,fold,model,n_obs,rmse,mae,r2,dir_acc,corr,n_features_used
4,5,zero,801,0.10307409716651056,0.07936052284787956,-0.02419290107296712,0.0,,35
4,5,trailing,801,0.15108963684726634,0.1221876369871261,-1.200655375828608,0.4769038701622971,-0.09656094642637719,35
12,1,xgb,794,0.07270386169394659,0.05919809409631634,0.7397554979207036,0.924433249370277,0.9133737278437636,20
12,1,ridge,794,0.22359827735385746,0.17690610705086213,-1.4615208097978836,0.6574307304785895,0.2804714005806332,20
12,1,zero,794,0.1430709784310407,0.12186113365842192,-0.007789198834878386,0.0,,20
12,1,trailing,794,0.15804199563040736,0.12646902429686865,-0.22973522963359527,0.6939546599496221,0.3930473433277742,20
12,2,xgb,794,0.1025779843885758,0.06345685248022977,0.6657562220981393,0.8589420654911839,0.8930938911852981,14
12,2,ridge,794,0.13584690506852817,0.09262047388143851,0.41378826738403407,0.8476070528967254,0.8547170740662112,14
12,2,zero,794,0.17802345542748782,0.12342560806402449,-0.006721774267363312,0.0012594458438287153,,14
12,2,trailing,794,0.25712244104725224,0.18021876873100465,-1.1000758182753354,0.5453400503778337,-0.04184204963265932,14
12,3,xgb,794,0.07840416657171287,0.05829936364227606,0.2546224593466655,0.7783375314861462,0.7309811382657367,14
12,3,ridge,794,0.08454256157010624,0.07055484189798163,0.13333986085050664,0.5642317380352645,0.6865868761415731,14
12,3,zero,794,0.09487903278956387,0.07904578176898461,-0.09153713383069828,0.0,,14
12,3,trailing,794,0.14526029818715444,0.11660707582304887,-1.5585380494833272,0.47858942065491183,-0.26177249637805716,14
12,4,xgb,794,0.06096829871260112,0.045943775830222223,0.8506381507972136,0.8979848866498741,0.9411012882300196,16
12,4,ridge,794,0.12165041165487622,0.1017472554991069,0.40535373591767787,0.7657430730478589,0.75248886400578,16
12,4,zero,794,0.1614626249435044,0.13179508504628712,-0.047551893667759026,0.0,,16
12,4,trailing,794,0.20396821944164897,0.1633219007040717,-0.6716930556166787,0.5226700251889169,0.027470992252195327,16
12,5,xgb,794,0.17391953412322447,0.14587411856672014,-0.09643519022407454,0.5088161209068011,0.16693369854270426,14
12,5,ridge,794,0.4052165773814182,0.33479724192643856,-4.951968814376241,0.3690176322418136,0.09819971603677874,14
12,5,zero,794,0.1732716024897552,0.1456471367106872,-0.08828093966026462,0.0,,14
12,5,trailing,794,0.2719978269182534,0.22222717198069133,-1.681742703522466,0.4987405541561713,-0.25958425985702305,14
26,1,xgb,782,0.21207024985167167,0.1664709958048039,0.24478124971304227,0.7365728900255755,0.6403920525726592,30
26,1,ridge,782,0.34039337809395326,0.29857948584732785,-0.9456981840325358,0.31074168797953966,-0.3178863120193545,30
26,1,zero,782,0.2477837580239326,0.21848627280739835,-0.03100064894362875,0.0012787723785166241,,30
26,1,trailing,782,0.25551568561763577,0.2014438307633541,-0.09634792611707854,0.7787723785166241,0.48957136552097164,30
26,2,xgb,782,0.18723775520950717,0.15039760861926524,0.4777366260261262,0.8414322250639387,0.9364170188728969,18
26,2,ridge,782,0.18552251400049938,0.13879869162050826,0.4872614627017461,0.7621483375959079,0.8519305576884074,18
26,2,zero,782,0.26144846720203935,0.20809358380000148,-0.018298065373380634,0.0,,18
26,2,trailing,782,0.3925193130486652,0.3313794020287298,-1.2952224270609207,0.4884910485933504,-0.1333153642043955,18
26,3,xgb,782,0.06865651354911752,0.055756850923576746,0.5900677913005676,0.7877237851662404,0.8337488718909283,23
26,3,ridge,782,0.26469298381976536,0.2385736992814056,-5.093031318598589,0.31841432225063937,0.5148492248320852,23
26,3,zero,782,0.12226120466884426,0.09912323396545612,-0.2999477374242332,0.0,,23
26,3,trailing,782,0.18761644192220478,0.14029439597047824,-2.061190395282659,0.659846547314578,-0.20199502091642854,23
26,4,xgb,782,0.21220716275410634,0.17544872404681436,0.07285406857401333,0.809462915601023,0.9340988777315833,24
26,4,ridge,782,0.5857787229841915,0.4868304170211618,-6.064724085883767,0.48721227621483376,0.466339640874583,24
26,4,zero,782,0.23951554397539887,0.19801953351932725,-0.18112381386810705,0.0012787723785166241,,24
26,4,trailing,782,0.28123268290092274,0.2367276364569759,-0.6283943960704319,0.5703324808184144,0.04350846566500578,24
26,5,xgb,782,0.2303149730259539,0.18061116093725668,-0.20784235566071319,0.6163682864450127,0.3047148579522199,30
26,5,ridge,782,0.9937307947329254,0.7598773408331074,-21.4855443661894,0.7327365728900256,0.13077836192787437,30
26,5,zero,782,0.23425094545774175,0.19469738910030504,-0.24947800125675212,0.0,,30
26,5,trailing,782,0.29020807371313945,0.2389168213540476,-0.9177186437857145,0.6227621483375959,0.16200297730162755,30
52,1,xgb,759,0.44450757901366583,0.4143947275748486,-0.3926721955304171,0.3438735177865613,-0.03861200939826278,20
52,1,ridge,759,0.3375135279652215,0.29172995386354567,0.19707878384528776,0.6903820816864296,0.4948359519078567,20
52,1,zero,759,0.39861919112070926,0.36379475251326937,-0.11997150093895148,0.0,,20
52,1,trailing,759,0.570706050054338,0.4420084181674325,-1.295702026696437,0.6271409749670619,0.10705649381966452,20
52,2,xgb,759,0.3491195886419764,0.3129205218099868,-0.09528947325709969,0.41106719367588934,0.17160037394804228,22
52,2,ridge,759,0.40173030533860365,0.34841166873817186,-0.4502726905424381,0.4888010540184453,-0.40332170442170495,22
52,2,zero,759,0.33690485540017967,0.3034245374186022,-0.019987898822892092,0.0,,22
52,2,trailing,759,0.6846848538850276,0.6449152193045733,-3.2127134662708627,0.06982872200263504,-0.8782502148090247,22
52,3,xgb,759,0.12076503085822589,0.09628262205104746,0.18973280617169475,0.8023715415019763,0.6200054644722504,21
52,3,ridge,759,0.4518454235364265,0.43463682030930406,-10.34294008396866,0.1976284584980237,0.47178726881215066,21
52,3,zero,759,0.17617097050763345,0.15462352673012655,-0.7243068592874751,0.0,,21
52,3,trailing,759,0.2570192174529105,0.20709656412549968,-2.670092887491895,0.4756258234519104,-0.31736826969318005,21
52,4,xgb,759,0.4175875579322592,0.3523467932922562,-0.914000222905508,0.2015810276679842,0.7043970062803452,18
52,4,ridge,759,0.9189344307342282,0.7541602961115471,-8.26863823269279,0.38603425559947296,0.37075646004794627,18
52,4,zero,759,0.3795402256269058,0.3168936850463531,-0.5811115318831901,0.0013175230566534915,,18
52,4,trailing,759,0.4988487184807557,0.40107138198496933,-1.7313955976568023,0.5691699604743083,-0.43913311007133493,18
52,5,xgb,759,0.4086958825549959,0.35370342093752083,-0.49783818344884545,0.27140974967061926,0.2330852639992404,25
52,5,ridge,759,0.7926455510369733,0.5873670837411749,-4.634072425685997,0.7378129117259552,0.29693686853775736,25
52,5,zero,759,0.3846235111836194,0.3343167814680844,-0.3265878921566623,0.0,,25
52,5,trailing,759,0.5593264914638869,0.49239223406164073,-1.8054023182962768,0.4018445322793149,-0.3356265064063338,25
