target,feature,lag_days,correlation,abs_correlation,n_obs
coffee_c_return_pct,sugar_return_pct,138,0.03142813893503049,0.03142813893503049,2862
coffee_c_return_pct,sugar_return_pct,139,-0.035902234221493017,0.035902234221493017,3675
coffee_c_return_pct,sugar_return_pct,140,-0.01709736496945755,0.01709736496945755,4430
coffee_c_return_pct,sugar_return_pct,141,0.025199216203730772,0.025199216203730772,3683
coffee_c_return_pct,sugar_return_pct,142,0.001621132992398532,0.001621132992398532,2866
coffee_c_return_pct,sugar_return_pct,143,0.019331622192508884,0.019331622192508884,2780
coffee_c_return_pct,sugar_return_pct,144,0.02212814456562044,0.02212814456562044,2775
coffee_c_return_pct,sugar_return_pct,145,-0.017121285377572137,0.017121285377572137,2858
coffee_c_return_pct,sugar_return_pct,146,0.027431765340790205,0.027431765340790205,3675
coffee_c_return_pct,sugar_return_pct,147,-0.006569653972907144,0.006569653972907144,4417
coffee_c_return_pct,sugar_return_pct,148,0.004648023107007462,0.004648023107007462,3672
coffee_c_return_pct,sugar_return_pct,149,0.0015716868256352092,0.0015716868256352092,2858
coffee_c_return_pct,sugar_return_pct,150,-0.0012329177212382838,0.0012329177212382838,2776
coffee_c_return_pct,sugar_return_pct,151,0.013621475662560868,0.013621475662560868,2773
coffee_c_return_pct,sugar_return_pct,152,0.0036983403435519673,0.0036983403435519673,2856
coffee_c_return_pct,sugar_return_pct,153,-0.0203043502506692,0.0203043502506692,3669
coffee_c_return_pct,sugar_return_pct,154,0.007170431399765697,0.007170431399765697,4414
coffee_c_return_pct,sugar_return_pct,155,0.015553789254087003,0.015553789254087003,3665
coffee_c_return_pct,sugar_return_pct,156,-0.004057974528648752,0.004057974528648752,2853
coffee_c_return_pct,sugar_return_pct,157,-0.0013428692361752944,0.0013428692361752944,2776
coffee_c_return_pct,sugar_return_pct,158,-0.021605569817748284,0.021605569817748284,2766
coffee_c_return_pct,sugar_return_pct,159,-0.018914334515037996,0.018914334515037996,2850
coffee_c_return_pct,sugar_return_pct,160,0.010348082587281326,0.010348082587281326,3660
coffee_c_return_pct,sugar_return_pct,161,0.027134390941327382,0.027134390941327382,4405
coffee_c_return_pct,sugar_return_pct,162,-0.0008531430968401133,0.0008531430968401133,3660
coffee_c_return_pct,sugar_return_pct,163,0.009896663570091493,0.009896663570091493,2849
coffee_c_return_pct,sugar_return_pct,164,-0.030960523014667004,0.030960523014667004,2765
coffee_c_return_pct,sugar_return_pct,165,0.015444120977705561,0.015444120977705561,2765
coffee_c_return_pct,sugar_return_pct,166,0.008601950947428674,0.008601950947428674,2845
coffee_c_return_pct,sugar_return_pct,167,-0.021099018164709462,0.021099018164709462,3653
coffee_c_return_pct,sugar_return_pct,168,0.007563362015446131,0.007563362015446131,4411
coffee_c_return_pct,sugar_return_pct,169,-0.009826609170430106,0.009826609170430106,3654
coffee_c_return_pct,sugar_return_pct,170,0.0045986796425196205,0.0045986796425196205,2847
coffee_c_return_pct,sugar_return_pct,171,0.012663002990451849,0.012663002990451849,2758
coffee_c_return_pct,sugar_return_pct,172,0.0035201572149648856,0.0035201572149648856,2757
coffee_c_return_pct,sugar_return_pct,173,0.004440770125729205,0.004440770125729205,2839
coffee_c_return_pct,sugar_return_pct,174,0.009244553635828219,0.009244553635828219,3655
coffee_c_return_pct,sugar_return_pct,175,0.008104338276835203,0.008104338276835203,4391
coffee_c_return_pct,sugar_return_pct,176,-0.005679513920288174,0.005679513920288174,3647
coffee_c_return_pct,sugar_return_pct,177,0.032512910270693134,0.032512910270693134,2839
coffee_c_return_pct,sugar_return_pct,178,-0.009187286148201065,0.009187286148201065,2761
coffee_c_return_pct,sugar_return_pct,179,-0.0020278716855960327,0.0020278716855960327,2754
coffee_c_return_pct,sugar_return_pct,180,0.0029837935378749067,0.0029837935378749067,2835
coffee_c_return_pct,sugar_return_pct,181,0.011496761021730754,0.011496761021730754,3649
coffee_c_return_pct,sugar_return_pct,182,-0.011167471203232481,0.011167471203232481,4384
coffee_c_return_pct,sugar_return_pct,183,0.043976758515187626,0.043976758515187626,3647
coffee_c_return_pct,sugar_return_pct,184,0.020270438033732054,0.020270438033732054,2838
coffee_c_return_pct,sugar_return_pct,185,0.008494158815644727,0.008494158815644727,2759
coffee_c_return_pct,sugar_return_pct,186,-0.006341150667695297,0.006341150667695297,2757
coffee_c_return_pct,sugar_return_pct,187,-0.006312640335248655,0.006312640335248655,2831
coffee_c_return_pct,sugar_return_pct,188,-0.002223877304017983,0.002223877304017983,3637
coffee_c_return_pct,sugar_return_pct,189,-0.003008987226519641,0.003008987226519641,4376
coffee_c_return_pct,sugar_return_pct,190,0.002344730162799309,0.002344730162799309,3640
coffee_c_return_pct,sugar_return_pct,191,-0.008410904857506478,0.008410904857506478,2834
coffee_c_return_pct,sugar_return_pct,192,0.03542581692781632,0.03542581692781632,2747
coffee_c_return_pct,sugar_return_pct,193,0.011689332136358059,0.011689332136358059,2742
coffee_c_return_pct,sugar_return_pct,194,-0.01541001986710646,0.01541001986710646,2827
coffee_c_return_pct,sugar_return_pct,195,0.005013780159665601,0.005013780159665601,3633
coffee_c_return_pct,sugar_return_pct,196,-0.016659442591584975,0.016659442591584975,4381
coffee_c_return_pct,sugar_return_pct,197,0.0032742507130254376,0.0032742507130254376,3631
coffee_c_return_pct,sugar_return_pct,198,-0.010331353879140602,0.010331353879140602,2826
coffee_c_return_pct,sugar_return_pct,199,0.015674108075012412,0.015674108075012412,2743
coffee_c_return_pct,sugar_return_pct,200,0.01539082821532071,0.01539082821532071,2740
coffee_c_return_pct,usd_brl,-200,0.009546423637820102,0.009546423637820102,2693
coffee_c_return_pct,usd_brl,-199,0.008475366311091248,0.008475366311091248,2708
coffee_c_return_pct,usd_brl,-198,0.015666095914225072,0.015666095914225072,2742
coffee_c_return_pct,usd_brl,-197,0.015044105112730771,0.015044105112730771,3511
coffee_c_return_pct,usd_brl,-196,0.011038976782731993,0.011038976782731993,4283
coffee_c_return_pct,usd_brl,-195,0.013660366782582077,0.013660366782582077,3560
coffee_c_return_pct,usd_brl,-194,0.02355306636052127,0.02355306636052127,2779
coffee_c_return_pct,usd_brl,-193,0.007681163644419919,0.007681163644419919,2695
coffee_c_return_pct,usd_brl,-192,0.009171546862242957,0.009171546862242957,2707
coffee_c_return_pct,usd_brl,-191,0.020747271785910303,0.020747271785910303,2742
coffee_c_return_pct,usd_brl,-190,0.020219062078782612,0.020219062078782612,3514
coffee_c_return_pct,usd_brl,-189,0.008937330603104117,0.008937330603104117,4286
coffee_c_return_pct,usd_brl,-188,0.01773851577381194,0.01773851577381194,3565
coffee_c_return_pct,usd_brl,-187,0.02503268002797497,0.02503268002797497,2784
