analysis_type,target,feature,lag_days,correlation,abs_correlation,n_obs
levels,coffee_c,rainfall,-78,0.00497154259302566,0.00497154259302566,4137
levels,coffee_c,rainfall,-77,0.015785491655326438,0.015785491655326438,4138
levels,coffee_c,rainfall,-76,0.009563725645156432,0.009563725645156432,4139
levels,coffee_c,rainfall,-75,0.0010493716776398187,0.0010493716776398187,4140
levels,coffee_c,rainfall,-74,-0.009585334206853414,0.009585334206853414,4140
levels,coffee_c,rainfall,-73,-0.010241128564642581,0.010241128564642581,4140
levels,coffee_c,rainfall,-72,-0.006716840231681678,0.006716840231681678,4141
levels,coffee_c,rainfall,-71,0.001190269635866722,0.001190269635866722,4142
levels,coffee_c,rainfall,-70,0.007065857684509232,0.007065857684509232,4143
levels,coffee_c,rainfall,-69,0.009338877572594472,0.009338877572594472,4144
levels,coffee_c,rainfall,-68,0.004762607511809585,0.004762607511809585,4145
levels,coffee_c,rainfall,-67,-0.016844619550047638,0.016844619550047638,4145
levels,coffee_c,rainfall,-66,-0.014293564320103196,0.014293564320103196,4145
levels,coffee_c,rainfall,-65,-0.007887791914369393,0.007887791914369393,4145
levels,coffee_c,rainfall,-64,0.0050588948511774605,0.0050588948511774605,4146
levels,coffee_c,rainfall,-63,0.008152009590786515,0.008152009590786515,4147
levels,coffee_c,rainfall,-62,0.008239207006305227,0.008239207006305227,4148
levels,coffee_c,rainfall,-61,0.0023435176561165307,0.0023435176561165307,4149
levels,coffee_c,rainfall,-60,-0.013031429969332431,0.013031429969332431,4149
levels,coffee_c,rainfall,-59,-0.013521129131569472,0.013521129131569472,4149
levels,coffee_c,rainfall,-58,-0.010195093664675619,0.010195093664675619,4150
levels,coffee_c,rainfall,-57,-0.0031603410064541615,0.0031603410064541615,4151
levels,coffee_c,rainfall,-56,0.005280530816198892,0.005280530816198892,4152
levels,coffee_c,rainfall,-55,0.0028498369127078946,0.0028498369127078946,4153
levels,coffee_c,rainfall,-54,0.002146308349388064,0.002146308349388064,4154
levels,coffee_c,rainfall,-53,-0.009127283914945383,0.009127283914945383,4154
levels,coffee_c,rainfall,-52,-0.008852313978559512,0.008852313978559512,4154
levels,coffee_c,rainfall,-51,-0.010827754014314914,0.010827754014314914,4155
levels,coffee_c,rainfall,-50,0.0035851561388089417,0.0035851561388089417,4156
levels,coffee_c,rainfall,-49,0.009369929973014529,0.009369929973014529,4157
levels,coffee_c,rainfall,-48,0.008901619927396305,0.008901619927396305,4158
levels,coffee_c,rainfall,-47,0.006760967092358425,0.006760967092358425,4159
levels,coffee_c,rainfall,-46,-0.010228585637254676,0.010228585637254676,4159
levels,coffee_c,rainfall,-45,-0.00624069083817111,0.00624069083817111,4159
levels,coffee_c,rainfall,-44,-0.008530841097911097,0.008530841097911097,4160
levels,coffee_c,rainfall,-43,-3.998176453459987e-05,3.998176453459987e-05,4161
levels,coffee_c,rainfall,-42,0.0035741170343376195,0.0035741170343376195,4162
