"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2010","1,015.38","1,002.50","1,016.50","1,001.38","","1.25%"
"08/25/2010","1,002.88","1,000.50","1,005.63","993.63","","0.20%"
"08/24/2010","1,000.88","1,004.75","1,008.00","993.88","","-0.40%"
"08/23/2010","1,004.88","1,007.38","1,010.63","998.63","","-0.30%"
"08/22/2010","1,007.88","1,003.50","1,007.88","1,003.50","","0.35%"
"08/20/2010","1,004.38","1,011.25","1,014.88","1,000.50","","-0.77%"
"08/19/2010","1,012.13","1,036.88","1,039.88","1,007.00","","-2.36%"
"08/18/2010","1,036.63","1,046.00","1,048.88","1,026.50","","-0.86%"
"08/17/2010","1,045.63","1,034.38","1,047.50","1,032.38","","1.17%"
"08/16/2010","1,033.50","1,041.50","1,050.13","1,030.25","","-0.76%"
"08/15/2010","1,041.38","1,043.63","1,043.63","1,040.63","","-0.24%"
"08/13/2010","1,043.88","1,030.13","1,043.88","1,028.50","","1.35%"
"08/12/2010","1,030.00","1,017.63","1,036.50","1,012.13","","1.19%"
"08/11/2010","1,017.88","1,023.38","1,027.88","1,013.13","","-0.55%"
"08/10/2010","1,023.50","1,032.75","1,033.25","1,019.38","","-0.91%"
"08/09/2010","1,032.88","1,040.63","1,049.13","1,031.88","","-0.73%"
"08/08/2010","1,040.50","1,039.75","1,040.50","1,034.13","","0.02%"
"08/06/2010","1,040.25","1,031.50","1,041.13","1,025.38","","0.86%"
"08/05/2010","1,031.38","1,030.63","1,053.88","1,016.88","","0.06%"
"08/04/2010","1,030.75","1,021.88","1,034.75","1,017.50","","0.88%"
"08/03/2010","1,021.75","1,015.50","1,023.38","1,006.13","","0.68%"
"08/02/2010","1,014.88","1,015.50","1,036.75","1,014.88","","-0.10%"
"08/01/2010","1,015.88","1,013.25","1,016.88","1,009.25","","0.20%"
"07/30/2010","1,013.88","994.88","1,013.88","994.25","","4.08%"
"07/27/2010","974.13","974.63","980.63","970.75","","-0.08%"
"07/26/2010","974.88","988.63","990.63","970.38","","-1.85%"
"07/25/2010","993.25","993.25","993.25","993.25","","0.01%"
"07/23/2010","993.13","989.63","996.50","986.75","","0.35%"
"07/22/2010","989.63","989.25","1,002.63","983.75","","0.01%"
"07/21/2010","989.50","988.88","996.00","983.63","","0.13%"
"07/20/2010","988.25","984.00","990.63","977.13","","0.48%"
"07/19/2010","983.50","995.13","999.75","980.88","","-1.16%"
"07/18/2010","995.00","999.00","999.00","985.13","","-0.36%"
"07/16/2010","998.63","1,019.13","1,022.25","992.50","","-1.89%"
