"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2022","5.550","5.550","5.550","5.550","","-1.60%"
"01/10/2022","5.640","5.640","5.640","5.640","","0.71%"
"01/07/2022","5.600","5.600","5.600","5.600","","-1.06%"
"01/06/2022","5.660","5.660","5.660","5.660","","-0.18%"
"01/05/2022","5.670","5.670","5.670","5.670","","0.18%"
"01/04/2022","5.660","5.660","5.660","5.660","","0.53%"
"01/03/2022","5.630","5.630","5.630","5.630","","1.44%"
"12/30/2021","5.550","5.550","5.550","5.550","","-2.12%"
"12/29/2021","5.670","5.670","5.670","5.670","","1.07%"
"12/28/2021","5.610","5.610","5.610","5.610","","0.00%"
"12/27/2021","5.610","5.610","5.610","5.610","","-0.53%"
"12/23/2021","5.640","5.640","5.640","5.640","","0.00%"
"12/22/2021","5.640","5.640","5.640","5.640","","-1.23%"
"12/21/2021","5.710","5.710","5.710","5.710","","0.00%"
"12/20/2021","5.710","5.710","5.710","5.710","","0.88%"
"12/17/2021","5.660","5.660","5.660","5.660","","0.18%"
"12/16/2021","5.650","5.650","5.650","5.650","","-0.88%"
"12/15/2021","5.700","5.700","5.700","5.700","","0.53%"
"12/14/2021","5.670","5.670","5.670","5.670","","0.53%"
"12/13/2021","5.640","5.640","5.640","5.640","","0.89%"
"12/10/2021","5.590","5.590","5.590","5.590","","0.72%"
"12/09/2021","5.550","5.550","5.550","5.550","","0.73%"
"12/08/2021","5.510","5.510","5.510","5.510","","-1.43%"
"12/07/2021","5.590","5.590","5.590","5.590","","-1.24%"
"12/06/2021","5.660","5.660","5.660","5.660","","0.18%"
"12/03/2021","5.650","5.650","5.650","5.650","","0.36%"
"12/02/2021","5.630","5.630","5.630","5.630","","0.00%"
"12/01/2021","5.630","5.630","5.630","5.630","","0.18%"
"11/30/2021","5.620","5.620","5.620","5.620","","0.72%"
"11/29/2021","5.580","5.580","5.580","5.580","","0.18%"
"11/26/2021","5.570","5.570","5.570","5.570","","0.54%"
"11/25/2021","5.540","5.540","5.540","5.540","","-0.54%"
"11/24/2021","5.570","5.570","5.570","5.570","","-0.18%"
"11/23/2021","5.580","5.580","5.580","5.580","","0.36%"
"11/22/2021","5.560","5.560","5.560","5.560","","-0.36%"
"11/19/2021","5.580","5.580","5.580","5.580","","0.72%"
"11/18/2021","5.540","5.540","5.540","5.540","","0.73%"
"11/17/2021","5.500","5.500","5.500","5.500","","0.55%"
"11/16/2021","5.470","5.470","5.470","5.470","","0.74%"
"11/12/2021","5.430","5.430","5.430","5.430","","1.12%"
"11/11/2021","5.370","5.370","5.370","5.370","","-1.65%"
"11/10/2021","5.460","5.460","5.460","5.460","","0.18%"
"11/09/2021","5.450","5.450","5.450","5.450","","-1.27%"
"11/08/2021","5.520","5.520","5.520","5.520","","0.55%"
"11/05/2021","5.490","5.490","5.490","5.490","","-1.79%"
"11/04/2021","5.590","5.590","5.590","5.590","","0.36%"
"11/03/2021","5.570","5.570","5.570","5.570","","-1.24%"
"11/01/2021","5.640","5.640","5.640","5.640","","0.53%"
"10/29/2021","5.610","5.610","5.610","5.610","","0.18%"
"10/28/2021","5.600","5.600","5.600","5.600","","1.08%"
"10/27/2021","5.540","5.540","5.540","5.540","","0.00%"
"10/26/2021","5.540","5.540","5.540","5.540","","0.36%"
"10/25/2021","5.520","5.520","5.520","5.520","","-1.60%"
"10/22/2021","5.610","5.610","5.610","5.610","","-0.36%"
"10/21/2021","5.630","5.630","5.630","5.630","","1.99%"
"10/20/2021","5.520","5.520","5.520","5.520","","-0.90%"
"10/19/2021","5.570","5.570","5.570","5.570","","1.46%"
"10/18/2021","5.490","5.490","5.490","5.490","","1.10%"
"10/15/2021","5.430","5.430","5.430","5.430","","-1.09%"
"10/14/2021","5.490","5.490","5.490","5.490","","0.18%"
"10/13/2021","5.480","5.480","5.480","5.480","","-0.36%"
"10/11/2021","5.500","5.500","5.500","5.500","","0.18%"
"10/08/2021","5.490","5.490","5.490","5.490","","0.37%"
"10/07/2021","5.470","5.470","5.470","5.470","","0.18%"
"10/06/2021","5.460","5.460","5.460","5.460","","0.37%"
"10/05/2021","5.440","5.440","5.440","5.440","","0.37%"
"10/04/2021","5.420","5.420","5.420","5.420","","1.50%"
"10/01/2021","5.340","5.340","5.340","5.340","","-1.29%"
"09/30/2021","5.410","5.410","5.410","5.410","","0.19%"
"09/29/2021","5.400","5.400","5.400","5.400","","0.00%"
"09/28/2021","5.400","5.400","5.400","5.400","","1.12%"
"09/27/2021","5.340","5.340","5.340","5.340","","0.38%"
"09/24/2021","5.320","5.320","5.320","5.320","","0.76%"
"09/23/2021","5.280","5.280","5.280","5.280","","0.19%"
"09/22/2021","5.270","5.270","5.270","5.270","","0.38%"
"09/21/2021","5.250","5.250","5.250","5.250","","-1.32%"
"09/20/2021","5.320","5.320","5.320","5.320","","1.33%"
"09/17/2021","5.250","5.250","5.250","5.250","","0.19%"
"09/16/2021","5.240","5.240","5.240","5.240","","0.58%"
"09/15/2021","5.210","5.210","5.210","5.210","","-0.57%"
"09/14/2021","5.240","5.240","5.240","5.240","","0.77%"
"09/13/2021","5.200","5.200","5.200","5.200","","-0.76%"
"09/10/2021","5.240","5.240","5.240","5.240","","0.38%"
"09/09/2021","5.220","5.220","5.220","5.220","","-1.51%"
"09/08/2021","5.300","5.300","5.300","5.300","","2.91%"
"09/06/2021","5.150","5.150","5.150","5.150","","-0.39%"
"09/03/2021","5.170","5.170","5.170","5.170","","0.19%"
"09/02/2021","5.160","5.160","5.160","5.160","","0.19%"
"09/01/2021","5.150","5.150","5.150","5.150","","0.19%"
"08/31/2021","5.140","5.140","5.140","5.140","","-0.39%"
"08/30/2021","5.160","5.160","5.160","5.160","","-0.19%"
"08/27/2021","5.170","5.170","5.170","5.170","","-0.96%"
"08/26/2021","5.220","5.220","5.220","5.220","","0.77%"
"08/25/2021","5.180","5.180","5.180","5.180","","-0.96%"
